Artist,Song
3 Doors Down,Kryptonite
A Perfect Circle,The Outsider
AFI,Miss Murder
Alice In Chains,Down In A Hole (2022 Remaster)
Alice In Chains,Nutshell
Alice In Chains,Rooster (2022 Remaster)
Alice In Chains,Them Bones (2022 Remaster)
Alice In Chains,Would? (2022 Remaster)
Alter Bridge,Addicted to Pain
Alter Bridge,All Ends Well
Alter Bridge,All Hope Is Gone
Alter Bridge,Before Tomorrow Comes
Alter Bridge,Blackbird
Alter Bridge,Bleed It Dry
Alter Bridge,Brand New Start
Alter Bridge,Break Me Down
Alter Bridge,Breathe Again
Alter Bridge,Broken Wings
Alter Bridge,Buried Alive
Alter Bridge,Burn It Down
Alter Bridge,Calm the Fire
Alter Bridge,Coeur d'Alene
Alter Bridge,Come To Life
Alter Bridge,Coming Home
Alter Bridge,Cradle to the Grave
Alter Bridge,Crows on a Wire
Alter Bridge,Cry a River
Alter Bridge,Cry of Achilles
Alter Bridge,Down To My Last
Alter Bridge,Fallout
Alter Bridge,Farther Than the Sun
Alter Bridge,Find The Real
Alter Bridge,Fortress
Alter Bridge,Ghost of Days Gone By
Alter Bridge,Home
Alter Bridge,I Know It Hurts
Alter Bridge,In Loving Memory
Alter Bridge,Island of Fools
Alter Bridge,Isolation
Alter Bridge,Last Of Our Kind (Bonus Track)
Alter Bridge,Life Must Go On
Alter Bridge,Losing Patience
Alter Bridge,Lover
Alter Bridge,Make It Right
Alter Bridge,Metalingus
Alter Bridge,My Champion
Alter Bridge,Never Born to Follow
Alter Bridge,One By One
Alter Bridge,One Day Remains
Alter Bridge,Open Your Eyes
Alter Bridge,Peace Is Broken
Alter Bridge,Poison In Your Veins
Alter Bridge,Rise Today
Alter Bridge,Shed My Skin
Alter Bridge,Show Me a Leader
Alter Bridge,Show Me a Sign
Alter Bridge,Slip to the Void
Alter Bridge,Still Remains
Alter Bridge,The End Is Here
Alter Bridge,The Last Hero
Alter Bridge,The Other Side
Alter Bridge,The Uninvited
Alter Bridge,The Writing on the Wall
Alter Bridge,This Side of Fate
Alter Bridge,Ties That Bind
Alter Bridge,Twilight
Alter Bridge,Watch Over You
Alter Bridge,Watch Your Words
Alter Bridge,Waters Rising
Alter Bridge,Wayward One
Alter Bridge,We Don't Care At All
Alter Bridge,White Knuckles
Alter Bridge,Wonderful Life
Alter Bridge,Words Darker Than Their Wings
Alter Bridge,You Will Be Remembered
Alter Bridge,Zero
Art Of Dying,Get Through This
Audioslave,#1 Zero
Audioslave,Be Yourself
Audioslave,Bring Em Back Alive
Audioslave,Broken City
Audioslave,Cochise
Audioslave,Dandelion
Audioslave,Doesn't Remind Me
Audioslave,Drown Me Slowly
Audioslave,Exploder
Audioslave,Gasoline
Audioslave,Getaway Car
Audioslave,Heaven's Dead
Audioslave,Hypnotize
Audioslave,I Am the Highway
Audioslave,Jewel Of The Summertime
Audioslave,Light My Way
Audioslave,Like a Stone
Audioslave,Man Or Animal
Audioslave,Moth
Audioslave,Nothing Left To Say But Goodbye
Audioslave,One And The Same
Audioslave,Original Fire
Audioslave,Out Of Exile
Audioslave,Out of Exile - Live at the Quart Festival
Audioslave,Revelations
Audioslave,Set It Off
Audioslave,Shadow on the Sun
Audioslave,Shape of Things to Come
Audioslave,Show Me How to Live
Audioslave,Somedays
Audioslave,Sound Of A Gun
Audioslave,The Curse
Audioslave,The Last Remaining Light
Audioslave,The Worm
Audioslave,Until We Fall
Audioslave,What You Are
Audioslave,Wide Awake
Audioslave,Yesterday To Tomorrow
Audioslave,Your Time Has Come
Avenged Sevenfold,Almost Easy
Avenged Sevenfold,Nightmare
Black Sabbath,Iron Man
Black Sabbath,War Pigs
Breaking Benjamin,Blow Me Away
Breaking Benjamin,The Diary of Jane - Single Version
Crazy Town,Butterfly
Creed,My Own Prison
Danzig,Mother
Deftones,My Own Summer (Shove It)
Deftones,Passenger
Dio,Don't Talk To Strangers
Dio,Holy Diver
Dio,Rainbow In The Dark
Dio,Stand Up And Shout
Dio,Straight Through The Heart
Disturbed,Conflict
